,Player,Country,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
43,AF Giles ,ENG,62,57,2856,2069,55,May-57,37.61,4.34,51.9,0,1
44,Tauseef Ahmed ,PAK,70,67,3250,2247,55,Apr-38,40.85,4.14,59,1,0
45,RN ten Doeschate ,NL,33,33,1580,1327,55,Apr-31,24.12,5.03,28.7,3,0
46,JR Thomson ,AUS,50,50,2696,1942,55,Apr-67,35.3,4.32,49,1,0
47,JV Coney ,NZ,88,70,2931,2039,54,Apr-46,37.75,4.17,54.2,1,0
48,N Pradeep ,SL,42,40,1996,1998,54,Apr-31,37,6,36.9,2,0
49,HH Pandya ,INDIA,54,53,2368,2195,54,Mar-31,40.64,5.56,43.8,0,0
0,AR Adams ,NZ,42,40,1885,1643,53,May-22,31,5.22,35.5,2,1
1,SR Clark ,AUS,39,38,1829,1477,53,Apr-54,27.86,4.84,34.5,2,0
2,Mohammad Naveed ,UAE,39,39,1938,1757,53,May-28,33.15,5.43,36.5,0,1
3,LS Pascoe ,AUS,29,28,1568,1066,53,May-30,20.11,4.07,29.5,4,1
4,SMSM Senanayake ,SL,49,47,2358,1874,53,Apr-13,35.35,4.76,44.4,1,0
5,GI Allott ,NZ,31,31,1528,1207,52,Apr-35,23.21,4.73,29.3,4,0
6,NM Coulter-Nile ,AUS,32,32,1678,1555,52,Apr-48,29.9,5.56,32.2,1,0
7,KSC de Silva ,SL,38,37,1619,1323,52,Mar-18,25.44,4.9,31.1,0,0
8,DS Lehmann ,AUS,117,62,1793,1445,52,04-Jul,27.78,4.83,34.4,1,0
9,TM Moody ,AUS,76,66,2797,2014,52,Mar-25,38.73,4.32,53.7,0,0
10,KA Pollard ,WI,107,74,2116,2025,52,Mar-27,38.94,5.74,40.6,0,0
11,DJ Willey ,ENG,46,45,1971,1889,52,Apr-34,36.32,5.75,37.9,2,0
12,A Dananjaya ,SL,36,34,1773,1506,51,Jun-29,29.52,5.09,34.7,2,2
13,VC Drakes ,WI,34,34,1640,1293,51,May-33,25.35,4.73,32.1,3,2
14,BJ McCarthy ,IRE,27,27,1389,1360,51,May-46,26.66,5.87,27.2,2,1
15,AM Blignaut ,ZIM,54,53,2348,2063,50,Apr-43,41.26,5.27,46.9,2,0
16,GJ Maxwell ,AUS,110,86,2698,2525,50,Apr-46,50.5,5.61,53.9,2,0
17,JA Morkel ,Afr/SA,58,52,2073,1899,50,Apr-29,37.98,5.49,41.4,2,0
18,PM Seelaar ,NL,41,41,1901,1476,50,Apr-15,29.52,4.65,38,1,0
19,T Thushara ,SL,38,38,1676,1393,50,May-47,27.86,4.98,33.5,0,1
20,JH Davey ,SCOT,31,29,1301,1082,49,Jun-28,22.08,4.99,26.5,1,2
21,CD McMillan ,NZ,197,74,1879,1717,49,Mar-20,35.04,5.48,38.3,0,0
22,AR Nurse ,WI,54,49,2384,2125,49,Apr-51,43.36,5.34,48.6,2,0
23,JS Patel ,NZ,43,42,2014,1691,49,03-Nov,34.51,5.03,41.1,0,0
24,GR Dilley ,ENG,36,36,2043,1291,48,Apr-23,26.89,3.79,42.5,3,0
25,JK Kamande ,KENYA,86,71,2619,2169,48,Apr-36,45.18,4.96,54.5,1,0
26,S Lee ,AUS,45,43,1706,1245,48,May-33,25.93,4.37,35.5,1,1
27,JF Mooney ,IRE,64,50,1797,1635,48,Apr-27,34.06,5.45,37.4,2,0
28,CH Morris ,SA,42,40,1894,1756,48,Apr-31,36.58,5.56,39.4,2,0
29,ARC Fraser ,ENG,42,42,2392,1412,47,Apr-22,30.04,3.54,50.8,1,0
30,Shahadat Hossain ,BDESH,51,50,2198,2143,47,Mar-34,45.59,5.84,46.7,0,0
31,M Amarnath ,INDIA,85,64,2730,1971,46,03-Dec,42.84,4.33,59.3,0,0
32,PW Borren ,NL,58,51,1979,1620,46,Apr-32,35.21,4.91,43,1,0
33,N Chopra ,INDIA,39,37,1835,1286,46,May-21,27.95,4.2,39.8,1,1
34,AC Evans ,SCOT,36,35,1678,1499,46,Apr-41,32.58,5.35,36.4,2,0
35,NAM McLean ,WI,45,45,2120,1729,46,Mar-21,37.58,4.89,46,0,0
36,Mirwais Ashraf ,AFG,46,45,2009,1360,46,Apr-35,29.56,4.06,43.6,1,0
37,Mohammad Asif ,Asia/PAK,38,36,1941,1524,46,Mar-28,33.13,4.71,42.1,0,0
38,SB O'Connor ,NZ,38,38,1487,1396,46,May-39,30.34,5.63,32.3,1,2
39,Samiullah Shinwari ,AFG,84,65,2111,1729,46,Apr-31,37.58,4.91,45.8,1,0
40,BC Strang ,ZIM,49,48,2494,1718,46,Jun-20,37.34,4.13,54.2,1,1
41,MR Whitney ,AUS,38,38,2106,1249,46,Apr-34,27.15,3.55,45.7,2,0
42,RDB Croft ,ENG,50,49,2466,1743,45,Mar-51,38.73,4.24,54.8,0,0
43,GF Labrooy ,SL,44,44,2308,1876,45,May-57,41.68,4.87,51.2,1,1
44,NO Miller ,WI,50,46,2125,1660,45,Apr-43,36.88,4.68,47.2,2,0
45,CM Old ,ENG,32,31,1755,999,45,04-Aug,22.2,3.41,39,2,0
46,H Osinde ,CAN,42,41,1692,1389,45,Apr-26,30.86,4.92,37.6,2,0
47,AR Patel ,INDIA,38,35,1908,1409,45,Mar-34,31.31,4.43,42.4,0,0
48,DN Patel ,NZ,75,69,3251,2261,45,Mar-22,50.24,4.17,72.2,0,0
49,EC Rainsford ,ZIM,39,39,1907,1401,45,May-36,31.13,4.4,42.3,1,1
0,Taskin Ahmed ,BDESH,32,31,1413,1401,45,May-28,31.13,5.94,31.4,2,1
1,AR Whittall ,ZIM,63,62,3085,2251,45,Mar-23,50.02,4.37,68.5,0,0
2,HS Baidwan ,CAN,32,32,1551,1348,44,Mar-19,30.63,5.21,35.2,0,0
3,SP Davis ,AUS,39,39,2016,1133,44,03-Oct,25.75,3.37,45.8,0,0
4,S Elworthy ,SA,39,37,1702,1235,44,Mar-17,28.06,4.35,38.6,0,0
5,AH Gray ,WI,25,24,1270,835,44,Jun-50,18.97,3.94,28.8,2,1
6,RJ Harris ,AUS,21,20,1031,832,44,May-19,18.9,4.84,23.4,0,3
7,VJ Marks ,ENG,34,32,1838,1135,44,May-20,25.79,3.7,41.7,0,2
8,MR Marsh ,AUS,53,50,1700,1564,44,May-33,35.54,5.52,38.6,1,1
9,Nazmul Hossain ,BDESH,38,37,1649,1386,44,Apr-40,31.5,5.04,37.4,1,0
10,DR Pringle ,ENG,44,44,2379,1677,44,Apr-42,38.11,4.22,54,1,0
11,RP Snell ,SA,42,42,2095,1574,44,May-40,35.77,4.5,47.6,2,1
